country,iso2,iso3,cases,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-14,2.572971238795154e-7,725,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-14,5.607302837650129e-7,1580,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-14,6.214169157421123e-7,1751,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-15,1.817050033466371e-7,512,2817754000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-02-15,1.6112123343627586e-7,454,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-16,1.930615660558019e-7,544,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-16,4.123851833765475e-7,1162,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Herpes zoster,443800,2022-02-16,5.774102352440986e-7,1627,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-16,6.26385411927372e-7,1765,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-17,9.819877817580952e-7,2767,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-18,1.6644462220619684e-7,469,2817754000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-02-18,1.7283268873010206e-7,487,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-19,6.448398263297647e-7,1817,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-19,6.888465068277784e-7,1941,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-20,1.799305404233301e-7,507,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-20,2.2677636159863493e-7,639,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-20,3.229522520418745e-7,910,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-20,4.879773039094258e-7,1375,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-20,6.437751485757805e-7,1814,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-21,2.37423139138477e-7,669,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-21,2.4168185015441375e-7,681,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-21,4.024481910060282e-7,1134,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-21,1.167596603536008e-6,3290,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-21,8.070257375200248e-7,2274,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-24,5.933804015538617e-7,1672,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-25,2.0796705461158075e-7,586,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-25,2.505541647709488e-7,706,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-25,5.231116697909044e-7,1474,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-25,5.603753911803515e-7,1579,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-26,2.0974151753488775e-7,591,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-26,2.988195562848993e-7,842,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-26,5.220469920369202e-7,1471,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-27,1.994496325797071e-7,562,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-27,2.2287254316735957e-7,628,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-27,2.920765971763326e-7,823,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-27,4.890419816634099e-7,1378,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-27,5.617949615189971e-7,1583,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-28,1.8241478851595988e-7,514,2817754000
