country,iso2,iso3,project,wikidata_id,page_id,page_title,date,roll_pct_pageviews,roll_cases,roll_n_articles,roll_n_studies
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-10-14,1.6776679144804224e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-10-15,1.7771947628578218e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-10-15,2.5714387211962774e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-10-15,1.8934736550215163e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q948421,1548205,Poxviridae,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q941770,2161913,Proctitis,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-10-15,3.9589021124376486e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-10-15,5.451804838098641e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q1122485,32134,Urethritis,2022-10-15,1.55202758608321e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-10-15,1.650076312950054e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-10-15,1.68702935071394e-7,67.57142857142857,0.5714285714285715,10.142857142857142
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-10-16,1.7771947628578218e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-10-16,2.7207289937623764e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-10-16,1.8934736550215163e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q948421,1548205,Poxviridae,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q941770,2161913,Proctitis,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-10-16,3.598240463862122e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-10-16,4.878293692003131e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q1122485,32134,Urethritis,2022-10-16,1.55202758608321e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-10-16,1.6510617272904243e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-10-16,1.68702935071394e-7,63.57142857142857,0.5714285714285715,10.285714285714286
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-10-17,1.55202758608321e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-10-17,1.8057717787285601e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-10-17,1.55202758608321e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-10-17,1.55202758608321e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-10-17,1.55202758608321e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-10-17,1.55202758608321e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-10-17,2.6798342986370096e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-10-17,1.818089457983189e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-10-17,1.55202758608321e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-10-17,1.55202758608321e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-10-17,1.55202758608321e-7,60.42857142857143,0.7142857142857143,11
United States,US,USA,en.wikipedia,Q948421,1548205,Poxviridae,2022-10-17,1.55202758608321e-7,60.42857142857143,0.7142857142857143,11
