country,iso3,date,cases
Barbados,BRB,2023-05-10,0
Barbados,BRB,2023-05-17,0
Barbados,BRB,2023-05-24,0
Barbados,BRB,2023-05-31,0
Barbados,BRB,2023-06-07,0
Barbados,BRB,2023-06-14,0
Barbados,BRB,2023-06-21,0
Barbados,BRB,2023-06-28,0
Barbados,BRB,2023-07-05,0
Barbados,BRB,2023-07-12,0
Barbados,BRB,2023-07-19,0
Barbados,BRB,2023-07-26,0
Barbados,BRB,2023-08-02,0
Barbados,BRB,2023-08-09,0
Barbados,BRB,2023-08-16,0
Barbados,BRB,2023-08-23,0
Barbados,BRB,2023-08-30,0
Barbados,BRB,2023-09-06,0
Barbados,BRB,2023-09-13,0
Barbados,BRB,2023-09-20,0
Barbados,BRB,2023-09-27,0
Barbados,BRB,2023-10-04,0
Barbados,BRB,2023-10-11,0
Barbados,BRB,2023-10-18,0
Barbados,BRB,2023-10-25,0
Barbados,BRB,2023-11-01,0
Barbados,BRB,2023-11-08,0
Barbados,BRB,2023-11-15,0
Barbados,BRB,2023-11-22,0
Barbados,BRB,2023-11-29,0
Barbados,BRB,2023-12-06,0
Barbados,BRB,2023-12-13,0
Barbados,BRB,2023-12-20,0
Barbados,BRB,2023-12-27,0
Barbados,BRB,2024-01-03,0
Barbados,BRB,2024-01-10,0
Barbados,BRB,2024-01-17,0
Barbados,BRB,2024-01-24,0
Barbados,BRB,2024-01-31,0
Barbados,BRB,2024-02-07,0
Barbados,BRB,2024-02-14,0
Barbados,BRB,2024-02-21,0
Barbados,BRB,2024-02-28,0
Belgium,BEL,2022-05-25,4
Belgium,BEL,2022-06-01,6
Belgium,BEL,2022-06-08,7
Belgium,BEL,2022-06-15,17
Belgium,BEL,2022-06-22,43
Belgium,BEL,2022-06-29,40
Belgium,BEL,2022-07-06,51
Belgium,BEL,2022-07-13,57
Belgium,BEL,2022-07-20,87
Belgium,BEL,2022-07-27,81
Belgium,BEL,2022-08-03,89
Belgium,BEL,2022-08-10,64
Belgium,BEL,2022-08-17,0
Belgium,BEL,2022-08-24,125
Belgium,BEL,2022-08-31,35
Belgium,BEL,2022-09-07,20
Belgium,BEL,2022-09-14,18
Belgium,BEL,2022-09-21,13
Belgium,BEL,2022-09-28,13
Belgium,BEL,2022-10-05,5
Belgium,BEL,2022-10-12,3
Belgium,BEL,2022-10-19,1
Belgium,BEL,2022-10-26,6
Belgium,BEL,2022-11-02,0
Belgium,BEL,2022-11-09,0
Belgium,BEL,2022-11-16,1
Belgium,BEL,2022-11-23,3
Belgium,BEL,2022-11-30,0
Belgium,BEL,2022-12-07,1
Belgium,BEL,2022-12-14,0
Belgium,BEL,2022-12-21,0
Belgium,BEL,2022-12-28,0
Belgium,BEL,2023-01-04,0
Belgium,BEL,2023-01-11,0
Belgium,BEL,2023-01-18,0
Belgium,BEL,2023-01-25,0
