country_long,iso2,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-17,3.99084739034532e-6,3197,801083000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-17,5.641052564556541e-7,505,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-17,8.761596019949773e-7,920,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-17,2.1072387283489006e-7,609,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-18,1.7643897081161927e-6,453,256746000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-18,5.326569435637286e-6,462,86735000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-18,1.5384615384615385e-6,831,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-18,1.937951742748173e-6,688,355014000
United Kingdom,GB,en.wikipedia,Q182155,Shingles,443800,2022-01-18,5.451155745551667e-7,488,895223000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-01-18,5.217924470197278e-7,1508,2890038000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-18,2.4774760747090525e-7,716,2890038000
